Food Item,Category,Meal Type,Cuisine Region,Calories (kcal),Carbohydrates (g),Proteins (g),Fats (g),Fiber (g),Calcium (mg),Iron (mg),Magnesium (mg),Potassium (mg),Vitamin A (µg),Vitamin C (mg),Vitamin B12 (µg),Serving Size (g/ml),Dietary Preference,Preparation Time (minutes),Veg/Non-Veg,Preferred For,Cheat Meal
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,423,53,30,22,9,223,-5.0,4.7,152,62,17,181.0,235,Muscle Gain,6,Non-Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,465,38,44,9,12,241,-6.0,-1.2,150,79,20,191.0,267,Muscle Gain,18,Non-Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,285,27,27,3,2,165,-4.0,3.3,96,46,1,136.0,208,Weight Loss,7,Veg,General Fitness,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,418,34,54,25,16,210,-6.0,7.0,137,52,9,187.0,235,Muscle Gain,6,Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,284,22,26,10,8,168,2.0,0.30000000000000004,95,37,2,130.0,203,Weight Loss,1,Veg,General Fitness,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,480,29,43,23,14,259,4.0,0.8,155,80,17,210.0,278,Muscle Gain,17,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,398,29,46,21,-5,187,5.0,-0.30000000000000004,132,53,19,154.0,223,Muscle Gain,17,Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,459,37,58,3,11,266,10.0,1.8,188,64,13,202.0,273,Muscle Gain,12,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,383,37,42,22,-1,181,-3.0,-3.3,129,70,13,156.0,219,Muscle Gain,18,Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,456,40,49,14,-1,265,10.0,-7.2,177,68,8,201.0,281,Muscle Gain,12,Non-Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,378,39,47,7,6,219,5.0,-0.3999999999999999,145,66,21,163.0,244,Muscle Gain,7,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,326,19,23,7,9,146,3.0,-4.5,100,43,11,111.0,171,Weight Loss,8,Non-Veg,General Fitness,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,275,15,34,17,16,166,-4.0,-8.7,95,44,7,146.0,191,Weight Loss,6,Veg,General Fitness,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,393,27,40,2,3,182,-3.0,-7.3,128,61,1,160.0,225,Muscle Gain,10,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,296,21,47,0,-1,202,14.0,-7.9,138,63,18,174.0,251,General Fitness,2,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,477,44,54,8,-1,256,10.0,-6.2,154,79,9,205.0,264,Muscle Gain,10,Non-Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,428,25,56,15,8,208,3.0,-2.0,120,48,0,185.0,236,Muscle Gain,1,Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,425,42,35,18,11,225,10.0,9.7,153,63,11,176.0,245,Muscle Gain,14,Non-Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,412,52,37,23,12,230,-3.0,2.7,168,45,17,172.0,238,Muscle Gain,15,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,443,41,53,12,-1,257,11.0,10.8,177,60,14,190.0,270,Muscle Gain,11,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,389,37,59,18,15,180,9.0,-7.3,138,59,9,156.0,230,Muscle Gain,16,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,308,12,32,17,15,208,9.0,9.1,144,62,7,182.0,246,General Fitness,6,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,463,29,59,12,16,249,0.0,-4.2,154,75,21,190.0,274,Muscle Gain,16,Non-Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,289,8,34,17,4,174,3.0,10.3,84,41,15,136.0,191,Weight Loss,-4,Veg,General Fitness,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,410,36,50,11,-1,207,3.0,9.0,137,50,15,188.0,239,Muscle Gain,4,Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,460,35,61,8,5,259,9.0,-4.2,186,65,7,203.0,283,Muscle Gain,12,Non-Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,376,26,48,19,13,215,0.0,-3.4,140,65,9,169.0,231,Muscle Gain,5,Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,459,52,58,17,12,256,12.0,11.8,190,61,3,191.0,277,Muscle Gain,9,Non-Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,298,16,39,19,-3,207,8.0,10.1,138,62,5,190.0,240,General Fitness,10,Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,441,48,54,20,12,257,11.0,11.8,182,69,12,194.0,287,Muscle Gain,22,Non-Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,388,35,45,5,6,230,-2.0,-4.4,156,57,16,176.0,250,Muscle Gain,2,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,464,41,43,14,-3,246,6.0,-8.2,168,70,5,203.0,276,Muscle Gain,20,Non-Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,425,60,19,20,11,228,-5.0,1.7,160,50,11,179.0,250,Muscle Gain,19,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,458,35,63,5,5,266,-2.0,6.8,185,68,19,192.0,270,Muscle Gain,19,Non-Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,373,27,56,1,-4,221,13.0,11.6,144,72,10,173.0,236,Muscle Gain,5,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,311,33,29,2,-5,141,1.0,-8.5,103,52,18,129.0,186,Weight Loss,0,Non-Veg,General Fitness,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,441,36,45,20,17,269,-4.0,-8.2,189,72,22,208.0,282,Muscle Gain,6,Non-Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,462,35,43,18,-3,252,-7.0,-1.2,164,70,14,210.0,272,Muscle Gain,12,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,440,41,56,7,-3,270,14.0,3.8,181,66,21,196.0,275,Muscle Gain,15,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,390,36,40,3,-3,189,11.0,0.7,123,68,7,165.0,214,Muscle Gain,-2,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,476,47,55,19,-1,243,5.0,-4.2,163,77,20,199.0,260,Muscle Gain,13,Non-Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,329,30,10,2,8,152,3.0,-8.5,105,42,0,118.0,173,Weight Loss,4,Non-Veg,General Fitness,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,311,16,16,4,8,148,12.0,-4.5,94,49,13,127.0,179,Weight Loss,5,Non-Veg,General Fitness,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,418,51,27,22,7,221,0.0,-2.3,150,61,13,170.0,235,Muscle Gain,7,Non-Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,424,47,23,24,16,234,4.0,-5.3,163,64,17,174.0,233,Muscle Gain,0,Non-Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,304,15,48,7,6,204,9.0,3.1,141,50,4,186.0,245,General Fitness,6,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,312,32,24,10,11,160,8.0,-6.5,90,53,4,126.0,185,Weight Loss,0,Non-Veg,General Fitness,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,463,39,60,8,9,251,7.0,10.8,167,66,17,201.0,274,Muscle Gain,7,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,397,35,54,17,12,188,9.0,4.7,140,50,12,169.0,212,Muscle Gain,7,Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,275,21,26,20,15,171,-7.0,4.3,89,41,17,131.0,191,Weight Loss,1,Veg,General Fitness,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,378,20,41,13,11,224,5.0,11.6,148,72,2,162.0,237,Muscle Gain,16,Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,372,33,50,7,3,225,-6.0,4.6,144,74,18,161.0,243,Muscle Gain,10,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,290,27,43,8,7,220,1.0,9.1,134,61,14,178.0,253,General Fitness,5,Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,419,54,29,6,10,225,13.0,-8.3,166,64,8,172.0,230,Muscle Gain,19,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,452,51,58,19,5,263,5.0,1.8,187,71,4,200.0,287,Muscle Gain,23,Non-Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,301,26,47,3,-2,220,0.0,1.1,138,60,12,181.0,243,General Fitness,-6,Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,424,53,24,24,10,223,-5.0,10.7,151,62,19,187.0,241,Muscle Gain,18,Non-Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,319,16,16,4,-4,157,10.0,-8.5,99,42,0,119.0,176,Weight Loss,8,Non-Veg,General Fitness,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,379,33,46,20,8,215,12.0,6.6,149,75,16,173.0,236,Muscle Gain,4,Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,425,47,23,12,15,220,4.0,-7.3,159,61,20,185.0,240,Muscle Gain,5,Non-Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,465,28,46,9,-4,258,7.0,-8.2,159,78,4,190.0,278,Muscle Gain,16,Non-Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,293,19,43,16,8,207,-5.0,12.1,137,57,13,172.0,260,General Fitness,5,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,303,20,37,8,15,210,13.0,11.1,146,59,10,173.0,258,General Fitness,0,Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,382,34,57,8,3,221,4.0,-7.4,152,57,20,170.0,240,Muscle Gain,1,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,322,34,16,9,12,154,-6.0,-7.5,92,53,13,114.0,174,Weight Loss,12,Non-Veg,General Fitness,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,283,28,32,19,12,176,11.0,4.3,94,35,10,149.0,190,Weight Loss,15,Veg,General Fitness,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,376,26,48,4,15,229,3.0,-7.4,142,67,11,161.0,238,Muscle Gain,15,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,479,46,53,17,8,243,10.0,-1.2,156,79,7,192.0,267,Muscle Gain,9,Non-Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,461,45,52,7,-4,258,2.0,6.8,157,76,16,205.0,266,Muscle Gain,17,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,383,31,51,14,2,192,-1.0,9.7,130,62,18,163.0,225,Muscle Gain,1,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,470,47,60,22,-2,256,6.0,4.8,170,67,19,200.0,274,Muscle Gain,17,Non-Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,473,43,41,10,-2,253,5.0,2.8,150,74,16,191.0,273,Muscle Gain,19,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,448,42,65,21,14,267,8.0,-5.2,170,64,17,202.0,272,Muscle Gain,11,Non-Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,385,26,54,16,-5,210,-5.0,-1.4,158,64,12,175.0,230,Muscle Gain,19,Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,386,34,55,11,12,187,-1.0,3.7,130,58,18,160.0,217,Muscle Gain,10,Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,458,39,54,17,-3,263,3.0,1.8,180,62,3,191.0,272,Muscle Gain,25,Non-Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,468,42,40,12,13,240,-4.0,-3.2,163,66,10,196.0,267,Muscle Gain,22,Non-Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,296,13,47,0,-3,220,10.0,9.1,145,45,1,190.0,240,General Fitness,3,Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,382,24,57,8,9,230,-3.0,-4.4,141,65,5,161.0,250,Muscle Gain,3,Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,381,36,43,6,14,219,2.0,2.6,159,69,22,172.0,239,Muscle Gain,0,Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,440,48,49,16,-2,260,2.0,5.8,176,68,5,199.0,284,Muscle Gain,11,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,450,33,57,6,10,258,14.0,1.8,190,61,10,195.0,282,Muscle Gain,13,Non-Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,386,31,53,16,-4,222,6.0,2.6,140,66,11,160.0,237,Muscle Gain,13,Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,458,44,58,8,1,252,-1.0,1.8,183,77,20,203.0,280,Muscle Gain,15,Non-Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,273,20,38,8,1,180,7.0,-1.7,95,30,12,141.0,196,Weight Loss,4,Veg,General Fitness,No
Homemade Protein Bar,Vegetarian,Snacks,Western,293,21,33,15,7,203,3.0,4.1,145,55,3,186.0,251,General Fitness,-1,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,305,25,49,12,7,202,9.0,-6.9,140,56,11,180.0,247,General Fitness,-7,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,310,22,30,18,0,158,-6.0,-6.5,102,36,3,128.0,173,Weight Loss,6,Non-Veg,General Fitness,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,387,37,56,10,3,182,-7.0,5.7,125,66,1,163.0,215,Muscle Gain,15,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,302,27,44,4,4,200,4.0,0.10000000000000009,148,65,1,189.0,249,General Fitness,5,Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,380,26,59,9,4,195,10.0,3.7,140,52,11,153.0,220,Muscle Gain,3,Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,390,31,47,20,-2,218,10.0,2.6,159,75,9,168.0,242,Muscle Gain,8,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,299,19,33,11,12,204,-5.0,3.1,146,53,14,182.0,240,General Fitness,-6,Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,390,25,47,8,9,198,-6.0,6.7,134,50,11,166.0,211,Muscle Gain,0,Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,453,51,51,6,4,260,13.0,-2.2,178,78,12,204.0,275,Muscle Gain,8,Non-Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,411,23,49,14,18,199,3.0,7.0,139,54,19,170.0,238,Muscle Gain,10,Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,416,56,26,21,-3,233,5.0,-5.3,152,50,13,173.0,244,Muscle Gain,13,Non-Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,322,22,25,18,6,143,7.0,-1.5,95,43,10,124.0,180,Weight Loss,14,Non-Veg,General Fitness,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,425,40,24,5,9,228,6.0,4.7,165,63,9,179.0,250,Muscle Gain,7,Non-Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,468,42,46,7,1,245,5.0,5.8,161,78,20,207.0,269,Muscle Gain,20,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,380,18,41,9,0,195,11.0,2.7,138,61,15,166.0,214,Muscle Gain,5,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,479,31,53,13,1,243,12.0,-4.2,153,68,18,194.0,261,Muscle Gain,12,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,400,30,46,17,-3,196,10.0,9.7,135,59,17,159.0,224,Muscle Gain,4,Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,381,21,48,7,11,191,-6.0,4.7,125,61,11,160.0,221,Muscle Gain,15,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,306,17,39,10,7,213,1.0,11.1,135,57,2,183.0,241,General Fitness,-6,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,302,10,45,12,-2,206,-4.0,0.10000000000000009,141,63,19,182.0,254,General Fitness,5,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,319,19,25,4,-2,155,6.0,0.5,92,45,16,122.0,170,Weight Loss,-5,Non-Veg,General Fitness,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,480,44,51,23,7,254,12.0,0.8,159,70,3,195.0,270,Muscle Gain,10,Non-Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,479,31,47,19,16,253,11.0,-2.2,154,76,16,200.0,261,Muscle Gain,10,Non-Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,413,58,36,23,3,222,-4.0,-7.3,151,56,9,173.0,245,Muscle Gain,20,Non-Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,296,28,46,4,15,213,13.0,0.10000000000000009,147,50,17,185.0,256,General Fitness,-3,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,462,34,58,16,4,243,7.0,2.8,162,61,10,208.0,262,Muscle Gain,12,Non-Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,327,22,29,18,-6,160,-2.0,-0.5,103,55,8,114.0,177,Weight Loss,10,Non-Veg,General Fitness,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,479,44,57,23,1,252,-3.0,1.8,164,64,8,207.0,261,Muscle Gain,19,Non-Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,322,29,30,0,-3,151,-6.0,-4.5,101,52,3,123.0,181,Weight Loss,6,Non-Veg,General Fitness,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,460,30,46,11,10,246,13.0,2.8,160,70,11,210.0,269,Muscle Gain,5,Non-Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,420,21,51,15,17,190,8.0,3.0,125,57,20,173.0,231,Muscle Gain,15,Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,370,40,55,7,-1,230,13.0,-2.4,157,55,14,163.0,238,Muscle Gain,6,Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,429,40,18,25,11,231,4.0,-8.3,170,48,8,176.0,240,Muscle Gain,16,Non-Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,464,40,59,9,1,241,12.0,5.8,170,63,8,200.0,275,Muscle Gain,5,Non-Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,285,12,34,7,15,178,11.0,9.3,98,46,16,146.0,199,Weight Loss,0,Veg,General Fitness,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,463,36,59,6,7,240,7.0,-4.2,152,78,10,196.0,262,Muscle Gain,13,Non-Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,328,34,28,12,9,140,6.0,-2.5,108,45,14,123.0,187,Weight Loss,15,Non-Veg,General Fitness,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,410,36,53,21,-2,191,10.0,-4.0,136,46,18,183.0,232,Muscle Gain,3,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,422,23,56,22,10,192,11.0,-5.0,129,61,19,180.0,243,Muscle Gain,3,Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,386,29,53,18,3,216,5.0,1.6,152,72,18,166.0,244,Muscle Gain,19,Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,391,28,58,13,7,192,12.0,-1.3,122,52,18,165.0,229,Muscle Gain,16,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,468,41,48,20,5,246,-1.0,4.8,167,78,22,201.0,280,Muscle Gain,6,Non-Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,413,38,46,22,-1,198,10.0,3.0,128,45,14,190.0,233,Muscle Gain,11,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,294,28,46,7,15,218,8.0,10.1,141,63,1,190.0,246,General Fitness,1,Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,443,50,51,22,13,263,-5.0,1.8,176,65,22,204.0,271,Muscle Gain,22,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,446,32,61,3,14,270,1.0,-3.2,190,66,12,210.0,271,Muscle Gain,12,Non-Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,422,46,35,10,2,232,9.0,3.7,156,59,2,179.0,235,Muscle Gain,4,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,453,50,48,17,-2,261,8.0,10.8,175,76,8,190.0,288,Muscle Gain,19,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,387,20,43,10,-1,192,11.0,-1.3,123,68,10,152.0,221,Muscle Gain,8,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,301,22,34,10,10,206,12.0,10.1,147,54,5,182.0,244,General Fitness,-3,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,310,12,40,2,7,219,-1.0,-7.9,139,54,5,174.0,245,General Fitness,7,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,310,15,39,14,1,213,8.0,-5.9,144,63,12,190.0,246,General Fitness,9,Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,283,28,45,7,12,176,-7.0,-1.7,87,40,9,142.0,207,Weight Loss,-1,Veg,General Fitness,No
Homemade Protein Bar,Vegetarian,Snacks,Western,294,16,32,13,15,200,-2.0,1.1,143,59,18,171.0,246,General Fitness,2,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,294,16,32,11,3,215,-5.0,-5.9,136,51,8,172.0,257,General Fitness,3,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,416,35,58,7,-2,198,7.0,-5.0,130,45,18,190.0,250,Muscle Gain,5,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,469,30,54,20,-2,247,2.0,-4.2,152,79,2,198.0,271,Muscle Gain,15,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,396,26,42,15,5,199,13.0,10.7,136,54,7,160.0,229,Muscle Gain,8,Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,415,52,18,15,10,221,4.0,8.7,169,55,6,184.0,232,Muscle Gain,20,Non-Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,312,16,16,16,14,159,12.0,11.5,107,45,16,118.0,180,Weight Loss,15,Non-Veg,General Fitness,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,460,42,56,9,12,250,1.0,-1.2,179,77,8,204.0,277,Muscle Gain,24,Non-Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,417,32,65,20,6,197,-4.0,-4.0,122,45,3,170.0,235,Muscle Gain,1,Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,372,27,50,10,8,222,11.0,-0.3999999999999999,159,64,22,167.0,248,Muscle Gain,5,Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,286,8,37,20,14,171,9.0,8.3,83,43,17,133.0,195,Weight Loss,-4,Veg,General Fitness,No
Homemade Protein Bar,Vegetarian,Snacks,Western,309,14,49,6,1,219,14.0,12.1,145,52,12,170.0,243,General Fitness,8,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,308,14,36,10,3,220,-2.0,5.1,146,47,4,181.0,245,General Fitness,0,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,412,21,64,22,1,202,5.0,10.0,138,62,3,175.0,248,Muscle Gain,18,Veg,Muscle Gain,No
